Username, Rounds Played, Time Played, Revives, Repairs, Heals, Resupplies, Squad Score, Orders_Comp, Flag Captured, Flag Defended, Bombs Placed, Bombs Defused, Game Mode Score, Region, RTimePl, DTimePL,RRounds, DRounds, ActInd, PTFOInd, TWInd
FuRioN_VoXmaN,1594,1264271,405,26,1009,2,2569960,7,3838,2323,342,148,5.01617e+06,3,1264271,0,1594,0,0,0,0
Fuego-Rey,994,1088713,937,354,7227,3,1623660,3,2702,3616,3,2,4.9107e+06,1,1088713,0,994,0,0,0,0
FurAndFeather,1413,1586008,2345,327,20432,10,1490960,4,1976,3089,1,0,5.63442e+06,3,1586008,0,1413,0,0,0,0
GDSpink,1112,993883,851,51,2260,2,2035790,7,6055,5663,5,6,6.48879e+06,2,993883,0,1112,0,0,0,0
GERIYAROUU,872,1047422,964,1,1309,490,1278980,3,2238,4180,0,0,3.29826e+06,3,1047422,0,872,0,0,0,0
GOLDSUNN,974,1154256,395,179,2500,41,1678070,4,3813,2981,0,1,4.26635e+06,3,1154256,0,974,0,0,0,0
GROMRP,836,1022530,1315,85,6316,5,1776940,4,5043,2404,6,4,6.81972e+06,2,1022530,0,836,0,0,0,0
Garliqe,1356,1226236,786,12,3205,10,2121530,5,4302,3191,0,2,4.94049e+06,2,1226236,0,1356,0,0,0,0
GeforceRx480,1257,1365263,187,117,2799,1,1279260,3,2035,2910,4,0,3.83987e+06,3,1365263,0,1257,0,0,0,0
GehtAbAlder,864,893367,2153,115,14583,4,1495720,3,1386,2525,36,5,1.08328e+06,2,893367,0,864,0,0,0,0
Geirilius,797,908022,1753,103,12324,3,1618740,3,2211,2942,12,0,4.13013e+06,2,908022,0,797,0,0,0,0
German-Strike,1369,1119712,962,71,6383,11,2071850,4,3634,1636,2,0,5.86704e+06,2,1119712,0,1369,0,0,0,0
GfA-CrackHead,644,540991,1697,845,7672,8,1937970,3,1400,1642,168,53,2.59528e+06,2,540991,0,644,0,0,0,0
Glextor,785,1253860,2669,98,9983,9,1656080,4,4627,3785,6,0,6.47446e+06,2,1253860,0,785,0,0,0,0
GloryPlay,568,688923,2097,1,12427,44,2140350,3,2983,3103,0,0,4.95847e+06,2,688923,0,568,0,0,0,0
