Username, Rounds Played, Time Played, Revives, Repairs, Heals, Resupplies, Squad Score, Orders_Comp, Flag Captured, Flag Defended, Bombs Placed, Bombs Defused, Game Mode Score, Region
remix21896,640,311663,1004,0,4891,623,343240,153,81,126,0,0,9555,1
reps420,280,248718,135,1,555,17,299183,1,813,908,29,4,833590,3
rettungsubmarine,765,804574,2613,157,21961,2,1404430,3,1766,1454,0,1,2.73877e+06,2
reyiz_2023,184,111675,3,0,6,0,122967,195,183,190,0,0,376480,2
robbieGGGG,199,241885,319,53,1131,344,233303,730,670,886,0,0,891950,2
roksana163,131,135686,76,0,451,713,125923,271,133,296,0,0,29040,2
roofredman,316,271606,7,0,5191,546,239503,511,267,311,2,0,465730,3
roskbox12,116,124950,281,23,1239,3,258263,450,292,213,0,0,594450,2
rou110,347,435842,32,160,869,1,291035,950,377,585,0,0,439525,3
rpekTV,1034,503956,1,59,3,984,276385,298,86,101,0,0,121660,2
rugbyworld94490,315,234931,729,8,1874,203,280087,446,379,173,13,3,263630,2
rulerofbadhall,183,184122,933,79,3009,577,298187,428,226,311,0,3,480870,2
ryp26,184,201321,63,1,383,121,193666,474,256,406,7,1,113540,2
ryppel,334,273071,357,5,1820,159,406330,1,700,1163,10,1,774670,2
s0ULiNe,366,403236,686,76,3976,1,756895,2,1424,1355,0,0,1.91344e+06,2
sSUPERJERKk,132,158874,281,39,2109,1,218936,522,474,272,0,0,651575,1
sTAlOrgOs,277,315694,122,0,1324,2,406872,1,516,258,0,0,718395,2
sTOPiT75,356,266908,312,0,4054,4,481954,1,791,393,12,3,854815,2
sTREXia,155,131579,297,10,1134,546,212455,407,185,309,0,0,233270,2
sXmn-CZe,149,222636,907,1,11364,1,361806,746,482,720,14,2,173580,2
sagi2536,255,219600,352,76,1619,978,416311,933,368,383,2,3,563695,3
saidgo,911,529972,0,0,0,4,18240,29,140,245,0,0,126020,2
sameself,154,111622,343,22,1593,1,194088,393,306,250,1,1,551720,3
sanchezESP10,257,217184,336,12,1302,905,220800,488,360,291,12,3,159130,2
sankukai26,663,446153,95,0,3748,1,558732,1,1253,901,0,0,772905,2
saybot0,186,161918,365,0,3009,273,296705,712,477,412,8,2,534385,2
scarbaby,209,375106,333,0,1150,34,541814,1,1418,739,8,2,1.81354e+06,2
scheromat,174,215105,964,228,7130,287,357534,923,623,696,0,0,701870,2
schubbi79,365,354320,161,122,4313,4,473566,1,992,603,0,0,1.29664e+06,2
secretd,224,177418,464,16,3096,784,351026,818,314,278,26,7,333720,1
seppboven,288,260691,237,0,1693,33,269395,946,581,556,3,2,262270,2
sergio_atilano,279,304203,430,9,2595,1,325940,1,824,669,2,3,1.06971e+06,2
shUt444,201,199548,19,0,43,21,243752,792,555,804,24,14,189780,2
shadowgtr500,333,312942,195,39,1767,1,280550,776,339,569,24,17,208880,2
shenmideren,305,279873,180,173,541,331,265282,808,570,509,0,0,591990,3
shibobo,284,334986,688,6,3621,3,759088,2,1015,1290,0,0,1.263e+06,3
siddo_sidddo,296,318121,331,72,1274,1,455695,1,632,596,0,1,848050,1
silanh_01,640,700184,534,31,4686,4,725205,1,1414,1427,1,0,1.63993e+06,3
sirpaz,545,574701,233,32,1495,5,588215,1,1117,928,0,0,1.48541e+06,3
sjollefreddy,165,136729,41,0,48,227,256441,616,317,288,0,2,465220,2
skatebba,306,308750,354,4,1491,7,401575,1,933,845,1,0,1.16003e+06,1
skinox87,165,116860,177,0,910,76,258673,336,299,193,8,1,98815,2
skiver122,129,138794,154,37,1046,779,231857,513,535,305,0,0,901380,2
skywalker1945679,370,361658,211,17,1096,983,331642,1,966,534,0,0,1.05365e+06,3
slaughter227,344,173167,450,2,3842,4,481887,438,446,314,0,0,176395,1
smazhface,300,293538,567,7,1964,36,259707,635,412,366,1,1,258475,2
smegov,457,534668,557,0,3757,4,969542,2,651,1000,1,0,225245,2
smiesky1,336,308087,426,0,981,886,91501,181,300,316,0,0,416030,2
smikhailov,182,155756,276,119,598,761,435703,788,259,355,1,0,503650,2
snak3snake,289,303232,725,312,2687,1,525461,1,884,756,4,3,1.21734e+06,1
snoll63,392,371994,45,8,155,5,366278,1,752,363,0,0,879635,1
snoop10_96,190,225256,454,206,3732,1,266079,652,428,778,0,0,433885,1
snudge2256,853,524035,1038,0,5907,3,1154270,3,2238,1147,0,0,1.13869e+06,2
soggydipah,223,254733,447,0,1209,1,329509,1,614,916,0,0,614315,2
sonusfaber,464,380581,364,35,1743,624,801369,1,1017,917,0,0,1.80517e+06,2
sonyel90,286,293668,137,2,1410,1,341040,1,629,361,0,0,1.02825e+06,3
sp0inked,175,186740,282,56,1427,1,397780,1,404,631,18,6,492373,2
sp1kjels,182,176472,224,9,2308,3,295202,853,875,407,3,0,1.09279e+06,2
spejsic,124,121774,22,0,101,84,167840,271,238,236,0,1,310215,2
st0rmyyy,174,203813,28,0,154,484,265275,770,306,386,0,0,282325,2
stabHisAss,203,201176,55,16,24,28,201189,470,270,293,6,7,44805,2
starwarsleon,298,233134,863,10,2302,408,402374,704,398,481,5,0,442900,2
steelow12,198,160194,125,1,210,150,231857,558,296,400,4,4,426895,2
stofflappen03,475,297359,625,73,3255,429,388844,513,276,183,0,0,447425,2
stonedragon808,193,269378,449,207,2859,2,378510,992,565,572,0,0,795525,1
stratm9,462,217032,261,36,813,1,595093,2,1093,667,32,2,343455,2
stylie542,300,374412,0,3,1,2,397495,1,734,707,0,0,823430,1
styxins,230,158714,189,3,279,245,183700,329,285,225,2,3,218420,2
suntao668,372,440888,179,3,2000,3,393993,1,688,538,0,0,801051,0
sunxiucheng,219,233052,281,0,1429,151,191599,469,413,476,0,0,582875,3
supermuamua,251,229896,112,70,355,2,257638,450,290,271,2,0,1.10096e+06,3
superszamo,679,342631,3,0,19,84,164980,192,98,252,0,0,256510,2
suracii,181,198247,63,0,322,1,245240,606,301,598,1,1,302165,2
suttyd0lt,162,210891,2045,4,10846,96,329244,855,791,632,0,0,992000,2
suuwwooooopBLOOD,212,242948,165,1,450,362,268276,893,800,470,0,0,1.13552e+06,3
suzaku-ver1,761,811473,1462,185,5906,5,1140380,3,2774,2066,0,0,2.80525e+06,3
suzzkey,251,300290,589,102,3775,1,529496,1,549,425,0,0,758075,3
swackedlol,103,82654,90,0,141,107,185405,249,202,273,1,0,542025,1
swistaslo,199,204007,338,0,3749,968,350957,781,664,670,1,0,817005,2
sy971,276,345451,130,9,1370,9,360892,970,573,833,0,0,640865,3
t_j_311,269,320316,242,0,849,942,265200,885,726,749,0,0,912670,1
tachochulle,508,279201,658,0,4754,5,668352,860,478,226,51,11,719820,2
tader,374,285721,242,0,2627,1,413952,1,357,400,16,14,255805,2
takamina-metal,251,247609,595,1,4875,685,286188,716,516,320,0,0,757475,3
tanolas,122,123741,116,70,833,477,170673,401,186,235,0,0,460925,2
tapisimba,892,405500,333,37,146,48,50692,0,110,217,0,0,319440,2
tappzed,78,84777,3,62,3,674,168435,377,341,316,0,0,36480,2
tareksul10,210,195740,162,15,1180,993,223570,547,474,386,0,0,613150,1
tbwe417JMRsgyt,81,115022,39,18,240,524,154754,380,116,731,0,0,64040,2
teamxxramrod1,178,180521,45,0,389,186,222049,461,257,305,12,0,102015,1
th3Ne0n182,187,184998,1013,8,3904,219,242930,580,225,260,3,4,167690,2
theCHICKENSLOTH,273,203181,114,47,560,860,255672,602,339,304,0,0,166000,1
thebatdu21,319,332438,413,179,3724,2,661250,1,536,972,10,4,415625,2
theflaaa,219,209824,826,40,3680,1,439788,1,447,456,0,0,593800,1
thelonerainer,133,151313,75,8,638,318,205912,405,223,313,0,0,457075,1
therealMr_Purple,225,200101,227,0,1226,813,334525,952,451,528,4,1,541580,1
theycallmeXymos,325,311953,588,111,4333,5,605811,1,721,791,59,16,911568,2
thorsti74,439,430350,9,0,26,20,444565,1,1209,516,5,0,357570,2
thoty,176,229921,1168,25,6145,11,353003,827,554,562,0,1,702980,3
thzone88,233,175916,1035,19,5617,519,505535,898,818,477,1,0,1.13701e+06,2
tibiwollf24,167,179598,584,1,1142,280,301260,698,667,707,0,0,873450,0
tigerbalmenema,269,318686,221,28,1089,2,361995,1,494,1009,1,1,581245,1
tigran45,354,293261,31,0,12,153,254696,706,469,283,0,0,425610,2
