Username, Rounds Played, Time Played, Revives, Repairs, Heals, Resupplies, Squad Score, Orders_Comp, Flag Captured, Flag Defended, Bombs Placed, Bombs Defused, Game Mode Score, Region, RTimePl, DTimePL,RRounds, DRounds, ActInd, PTFOInd, TWInd
FEARush-BLiZZaRD,1101,1106862,1098,78,3456,3,1973650,3,1848,2919,23,13,4.19529e+06,2,1106862,0,1101,0,0,0,0
FFI_Oneal,780,1129279,1705,278,16821,9,1751910,3,3210,3702,72,10,3.4943e+06,2,1116844,12435,771,9,32.095,16.1352,82.2151
Fantasy-MG,1017,656788,2128,21,7806,2,1593440,2,3064,2766,0,0,718150,2,656788,0,1017,0,0,0,0
FarewelI,852,855399,301,137,4337,4,2054080,5,2909,2877,26,12,4.96371e+06,0,848144,7255,844,8,27.3016,14.5199,8.42239
Fatedxin,1043,1157640,1570,90,5958,13,1578660,3,2621,2362,1,0,4.14067e+06,1,1120012,37628,1005,38,71.3922,16.572,40.5136
Firespawn84,731,833014,1013,101,7170,2,1280590,2,1646,2061,1,8,1.36515e+06,2,833014,0,731,0,0,0,0
FlexerJR,968,839777,728,10,1194,4,2221720,5,4036,2729,49,19,4.05816e+06,2,826003,13774,949,19,42.895,6.43392,9.34521
Floatinify,679,739754,1848,107,10112,6,1336910,2,2191,3533,1,1,3.87344e+06,1,739754,0,679,0,0,0,0
Floooweiz2,1438,1722977,56,19,225,4,1816070,5,4654,2818,0,0,7.7383e+06,2,1722977,0,1438,0,0,0,0
Foxdie911,795,883351,905,135,4398,4,1620480,4,2956,4917,12,3,3.9017e+06,2,883351,0,795,0,0,0,0
Foxxhound_87,859,718802,1657,120,7170,5,1568030,2,2081,1934,12,7,3.70245e+06,2,718618,184,857,2,7.67786,7.16365,39.1761
Frakes95,1038,1075807,5006,100,11232,5,2569140,6,3985,3058,15,6,5.65451e+06,2,1075807,0,1038,0,0,0,0
FuRioN_VoXmaN,1594,1264271,405,26,1009,2,2569960,7,3838,2323,342,148,5.01617e+06,3,1264271,0,1594,0,0,0,0
Fuego-Rey,1012,1106126,972,364,7335,3,1653720,3,2745,3690,3,2,4.99741e+06,1,1093377,12749,998,14,37.2875,12.0912,16.4343
GOLDSUNN,976,1156499,395,179,2500,41,1679980,4,3820,2984,0,1,4.27845e+06,3,1154256,2243,974,2,15.0565,10.4827,5.55905
GROMRP,836,1022530,1315,85,6316,5,1776940,4,5043,2404,6,4,6.81972e+06,2,1022530,0,836,0,0,0,0
Garliqe,1356,1226236,786,12,3205,10,2121530,5,4302,3191,0,2,4.94049e+06,2,1226236,0,1356,0,0,0,0
GeforceRx480,1257,1365263,187,117,2799,1,1279260,3,2035,2910,4,0,3.83987e+06,3,1365263,0,1257,0,0,0,0
GehtAbAlder,871,899495,2197,115,14698,4,1526060,3,1397,2546,36,5,1.08438e+06,2,899495,0,871,0,0,0,0
Geirilius,797,908022,1753,103,12324,3,1618740,3,2211,2942,12,0,4.13013e+06,2,908022,0,797,0,0,0,0
German-Strike,1369,1119712,962,71,6383,11,2071850,4,3634,1636,2,0,5.86704e+06,2,1119712,0,1369,0,0,0,0
GloryPlay,571,691977,2097,1,12427,44,2152060,3,2992,3107,0,0,4.97882e+06,2,691977,0,571,0,0,0,0
Goulashn1kov,963,1119565,1141,108,5409,5,2067490,5,3521,4089,17,5,4.13418e+06,2,1115846,3719,961,2,17.4508,20.5252,6.15479
Gozli,532,749840,1848,67,7871,3,1643740,3,1730,2351,4,0,2.77855e+06,2,730111,19729,515,17,43.9321,8.09567,22.1407
GrandMasterGuess,1136,1345102,848,95,4623,10,2525780,8,4050,5665,0,0,6.03166e+06,1,1345102,0,1136,0,0,0,0
GrayskullCube,1123,1185742,1738,87,9096,3,2236960,5,1494,3143,52,21,1.36995e+06,2,1185742,0,1123,0,0,0,0
Grisu0302,1129,1367928,1565,108,6899,3,2188500,6,2535,1897,3,6,526090,2,1367928,0,1129,0,0,0,0
Gsundi_Aut,1449,1164538,2687,234,14565,12,3551150,8,5664,3371,77,13,4.73119e+06,2,1149983,14555,1430,19,43.3379,21.2099,7.70913
